filing_id,compensation_officers_prog_service,compensation_disq_persons_fundraising,fees_for_other_services_mgmt_general,occupancy_prog_service,year,other_salaries_wages_fundraising,fees_for_mgmt_services_mgmt_general,entertainment_travel_govt_officials_prog_service,benefits_to_members_mgmt_and_general,contributions_grants_revenue,fees_for_mgmt_services_fundraising,other_expenses_a_fundraising,other_expenses_d_mgmt_general,fees_for_lobbying_services_fundraising,compensation_officers_fundraising,other_expenses_b_label,state,grants_us_individuals_fundraising,entertainment_travel_govt_officials_total,zip,fees_for_investment_mgmt_services_prog_service,other_expenses_a_prog_service,other_revenue,other_expenses_b_prog_service,fees_for_fundraising_services_fundraising,num_independent_members,payments_affiliates_mgmt_general,advertising_promotion_total,depreciation_depletion_amortization_prog_service,fees_for_other_services_fundraising,interest_total,other_expenses_c_fundraising,activities_per_region_totals_number_of_offices,mission,grants_foreign_individuals_govt_orgs_total,other_expenses_b_fundraising,other_expenses_d_fundraising,compensation_disq_persons_mgmt_and_general,payroll_taxes_mgmt_general,fees_for_accounting_services_fundraising,compensation_disq_persons_prog_service,num_volunteers,investment_income_revenue,conferences_conventions_prog_service,fees_for_accounting_services_mgmt_general,state_of_domicile,conferences_conventions_mgmt_general,payments_affiliates_fundraising,fees_for_legal_services_mgmt_general,program_service_revenue,payments_affiliates_total,fees_for_legal_services_total,office_expenses_fundraising,other_expenses_c_label,city,it_expenses_prog_service,grants_us_individuals_total,total_number_other_recipient_foreign_orgs_entities,ein,pension_plan_acc_fundraising,conferences_conventions_fundraising,gross_receipts,conferences_conventions_total,fees_for_accounting_services_prog_service,office_expenses_total,travel_mgmt_general,num_employees,it_expenses_fundraising,total_number_recipient_foreign_orgs_listed_as_charities,fees_for_investment_mgmt_services_mgmt_general,grants_us_individuals_prog_service,fees_for_investment_mgmt_services_total,occupancy_fundraising,royalties_prog_service,depreciation_depletion_amortization_total,website,compensation_disq_persons_total,other_expenses_d_label,address,entertainment_travel_govt_officials_mgmt_general,total_functional_expense_fundraising,occupancy_mgmt_general,compensation_officers_total,fees_for_fundraising_services_mgmt_general,interest_prog_service,travel_fundraising,grants_foreign_individuals_govt_orgs_mgmt_and_general,benefits_to_members_total,total_functional_expenses_prog_service,net_assets,payroll_taxes_total,grants_us_govt_orgs_mgmt_and_general,other_salaries_wages_mgmt_general,other_employee_benefits_mgmt_general,occupancy_total,compensation_officers_mgmt_and_general,insurance_fundraising,insurance_mgmt_general,depreciation_depletion_amortization_fundraising,all_other_expenses_fundraising,total_assets,other_expenses_b_mgmt_general,other_expenses_d_total,fees_for_other_services_total,pension_plan_acc_contrib_mgmt_general,fees_for_legal_services_fundraising,interest_fundraising,activities_per_region_totals_number_of_employees,insurance_total,benefits_paid_members_expenses,travel_prog_service,entertainment_travel_govt_officials_fundraising,other_expenses_d_prog_service,fees_for_fundraising_services_total,advertising_promotion_prog_service,other_expenses_c_prog_service,total_liabilities,fees_for_mgmt_services_prog_service,fees_for_lobbying_services_prog_service,pension_plan_acc_contrib_total,fees_for_other_services_prog_service,grants_paid_expenses,all_other_expenses_prog_service,revenue_less_expenses,fees_for_legal_services_prog_service,fees_for_investment_mgmt_services_fundraising,payments_affiliates_prog_service,net_unrelated_biz_taxable_revenue,fees_for_lobbying_services_mgmt_general,payroll_taxes_prog_service,office_expenses_mgmt_general,grants_us_individuals_mgmt_and_general,name,advertising_promotion_mgmt_general,office_expenses_prog_service,other_expenses_a_total,pdf_key,num_voting_members,fees_for_accounting_services_total,advertising_promotion_fundraising,travel_total,all_other_expenses_mgmt_general,grants_us_govt_orgs_prog_service,grants_foreign_individuals_govt_orgs_prog_service,fees_for_fundraising_services_prog_service,other_expenses_b_total,other_expenses,year_formation,royalties_total,other_expenses_a_mgmt_general,other_employee_benefits_total,professional_fundraising_fees_expenses,grants_foreign_individuals_govt_orgs_fundraising,total_expenses,other_expenses_c_mgmt_general,total_fundraising_expenses,payroll_taxes_fundraising,all_other_expenses_total,royalties_mgmt_general,total_unrelated_biz_revenue,pension_plan_acc_contrib_prog_service,activities_per_region_totals_total_expenditure,other_employee_benefits_fundraising,salaries_compensation_benefits_expenses,benefits_to_members_fundraising,royalties_fundraising,depreciation_depletion_amortization_mgmt_general,other_salaries_wages_total,fees_for_lobbying_services_total,it_expenses_mgmt_general,benefits_to_members_prog_service,other_expenses_c_total,it_expenses_total,total_functional_expenses_total,grants_us_govt_orgs_fundraising,grants_us_govt_orgs_total,other_salaries_wages_prog_service,insurance_prog_service,other_expenses_a_label,total_revenue,fees_for_mgmt_services_total,job_id,total_functional_expenses_mgmt_general,other_employee_benefits_prog_service,interest_mgmt_general,source_url,index,activities_per_region_subtotal_total_expenditure,split_file,interest_general,file,activities_per_region_subtotal_number_of_offices,activities_per_region_continuation_total_number_of_employees,activities_per_region_subtotal_number_of_employees,activities_per_region_continuation_total_number_of_offices,activities_per_region_continuation_total_total_expenditure
237103042_2009,75104,,6529,130847,2009,36322,,,,1510272,,,,,32291,b,CA,,0,94105,,,128546,,,12,0,0,13389,9592,0,,,"Public Advocates IS a nonprofit law firm and advocacy organization that challenges the systemic causes of poverty and racial discrimination by strengthening community voices in public policy and achieving tangible legal victories and advancing education, housing and transit equity",0,,,,17224,,,40,219187,4660,16365,CA,2143,0,,138305,0,0,5827,c,San Francisco,3294,0,,237103042,761,376,2025710,7179,,47161,1676,22,235,,,0,0,8528,,15941,,0,d,131 Steuart Street 300,,105232,35990,211410,,,251,,0,1177235,5006427,82325,,125723,28515,175365,104015,,,489,268,5143043,,0,32786,2465,,,,0,0,11652,,,0,,,136616,,,,16665,0,13757,362041,,,0,0,,59958,6822,,Public Advocates Inc.,,34512,0,EIN_237103042_YEAR_2009_FORMTYPE_990.pdf,12,16365,,13579,1288,,,,0,328202,1971,0,,125646,0,,1634269,,105232,5143,0,,0,10574,,5149,1306067,,,2063,886686,0,984,,0,4513,1634269,,,724641,,a,1996310,0,6167ee25bc4f1a6d66aa119670452f7dea8d99b8ee7d572a571b1e7d8468b5b4,351802,78182,,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F23-7103042_990_200906.pdf,,,,,,,,,,
237103042_2010,76352,,9188,131942,2010,37861,,,,1063387,,,433,,42799,Dues & subscriptions,CA,,,94105,,15455,21514,5814,,12,,,9661,7683,,35,,"Public Advocates Inc is a nonprofit law firm and advocacy organization that challenges the systemic causes of poverty and racial discrimination by strengthening community voices in public policy and achieving tangible legal victories advancing education, housing and transit equity,",,398,307,,17903,,,45,117605,3799,19096,CA,2237,,,72270,,,6190,Reference & research,San Francisco,,,,237103042,1042,458,1305781,6494,,39801,644,18,,,,,,5999,,12408,www publicadvocates.org,,Miscellaneous,131 Steuart Street 300,,114605,30093,245146,,,1154,,,1203660,4616284,82029,,129961,10258,168034,125995,690,2266,456,,4836170,125,1401,65851,2609,,,,12512,0,16832,,661,,,6097,219886,,,21849,48980,9000,,-402606,,,,0,,58234,6018,,Public Advocates Inc.,,27593,15455,EIN_237103042_YEAR_2010_FORMTYPE_990.pdf,12,19096,,18630,,9000,,,6337,372151,1971,,,79853,0,,1677382,,114605,5892,,,0,18198,,3641,1296231,,,2291,867354,,,,6132,,1677382,,9000,699532,9556,Filing & deposition fees,1274776,,a3eef09e3115b1eef82c258c2103aa27369c94722a197fa8d9533b5e31a38e0b,359117,65954,,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F23-7103042_990_201006.pdf,,,,,,,,,,
850275408_2009,,,106009,,2009,2723490,,,,45015267,,,37477,,578411,PROFESSIONAL b DEVELOPMEN,NM,,,87102,,,-62807,,113755,33,,429895,,391528,,18792,,"THE UNM FOUNDATION IS A NONPROFIT, NEW MEXICO CORPORATION ORGANIZED TO FOSTER, ENCOURAGE AND",,56636,22657,,252067,,,47,-1787310,,59740,NM,39120,,,,,,109920,DUES AND SUBSCRIPTIONS,ALBUQUERQUE,,,,850275408,115502,19174,56911170,58294,,172145,37233,58,5591,,33724,,33724,115278,,,WWW.UNMFUND.ORG,,TAXES,Instruc- 700 LOMAS BLVD. NE SUITE 108,,5131451,115278,887099,,,45776,,,22871171,147073811,252067,,1515997,183285,230556,308688,,28315,,3012,150530622,15591,60134,497537,61642,,,,28315,,,,,113755,,,3456811,,,177144,,22871171,,11492281,,,,-111560,,,62225,,"UNIVERSITY OF NEW MEXICO FOUNDATION, INC",81465,,496153,EIN_850275408_YEAR_2009_FORMTYPE_990.pdf,34,59740,348430,83009,47681,22871171,,,72227,2488272,1979,,496153,643874,113755,,31672869,51355,5131451,,50693,,-111560,,,460589,6199671,,,,4239487,,137015,,70147,142606,31672869,,22871171,,,ANNUITY EXPENSE a,43165150,,08dad65f72df688835acda159a5830918589923a6e8eb36aeb1c212c82023c6c,3670247,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_05_EO%2F85-0275408_990_200906.pdf,,,,,,,,,,
850275408_2010,,,86533,,2010,4175955,,,,29536877,,,6090,,791345,AND SUBSCRIPTIONS b DUES,NM,,,87102,,,-145804,,143894,31,,253312,,240645,,41930,0,"THE UNM FOUNDATION IS A NONPROFIT NEW MEXICO CORPORATION ORGANIZED TO RAISE, MANAGE AND",,45188,,,76141,,,31,1756807,,79675,NM,27107,,30904,,,30904,202989,PROFESSIONAL DEVELOPMEN c,ALBUQUERQUE,,,,850275408,268325,,46762429,27107,,382747,15125,75,33751,,8132,,8132,1718,,,WWW.UNMFUND.ORG,,PROPERTY TAXES,700 LOMAS BLVD. NE SUITE 108,,6976173,243931,1258483,,,77939,,,26807949,152222472,358624,,874469,105038,245649,467138,,30763,,,155985263,26366,6090,327178,79422,,,0,30763,,,,,143894,,,3762791,,,347747,,26807949,,-5359410,,,,-176704,,,179758,,"UNIVERSITY OF NEW MEXICO FOUNDATION, INC",,,334279,EIN_850275408_YEAR_2010_FORMTYPE_990.pdf,31,79675,253312,93064,,26807949,,,71554,2018432,1979,,334279,521737,143894,,36507290,17181,6976173,282483,,,-176704,,0,416699,7537015,,,,5050424,,35116,,59111,68867,36507290,,26807949,,,ANNUITY EXPENSE a,31147880,,856dd76c35ae85f7b3062bbf685275ac1afab117e2627540065cac5613f19a5c,2723168,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_06_EO%2F85-0275408_990_201006.pdf,,,,,,,,,,
521527294_2010,116908,,,192058,2010,420381,,,,16922075,,18453,-312188,,86188,"Communications, ads, media",VA,,,22201,,280613,1614,6389556,127640,4,,,14308,,357623,0,,Educate businesspersons and consumers to increase awareness of the operation and value of a free economy,,5805,-134465,,19238,4234,,6,69499,1707606,10206,DE,50330,,2010,467937,,6255,15987,Honoraria,Arlington,204055,,,521527294,10333,9951,18833094,1767887,4527,143855,115088,5,76256,,,,,59232,,65877,www.americansforprosperityfoundation.org,,Overhead allocated to affiliate, ,,978971,142772,335738,,0,46405,,,13030150,743916,200582,,112885,73626,394062,132642,644,1554,18765,14928,2875479,115136,-584175,,25363,834,0,,3137,0,469947,,-137522,127640,,242300,2131563,,,83598,,0,733609,2149592,3411,,,,,144479,40726,,Americans for Prosperity Foundation,,87142,360063,EIN_521527294_YEAR_2010_FORMTYPE_990.pdf,3,18967,,631440,33752,,,,6510497,11876490,1987,,60997,228297,0,,15311533,11000,978971,36865,782289,,0,47902,,29995,3307403,,,32804,2459188,,136234,,253300,416545,15311533,,,1925922,939,Prof fees - consulting,17461125,,9e3de104d9fb1001b67a2a27a8efa291dc7ab2818e2d4fbfdee27ab3d45656e7,1302412,124676,357623,https://projects.propublica.org/nonprofits/download-filing?path=2011_08_EO%2F52-1527294_990_201012.pdf,,,,,,,,,,
412227656_2009,93578,146,4136,22686,2009,,,,,481102,,,,,16337,COMMUNICATIONS b,IL,,,60608,,197029,15449,46762,,26,,,3290,34784,,16900,,:,,593,,445,1659,,153387,133,,,9015,IL,,,,557495,,,1048,PROMOTION c,CHICAGO,,,,412227656,,,1055130,,,21067,3029,9,,,,,,1514,,3786,CCDA.OR,153978,DIRECT REGIONAL,1100 W. CERMAK RD.,,83646,1906,130216,,,6899,,,841020,268993,22728,,,1072,26106,20301,,,220,3035,270803,746,19216,109159,,,,,,,92800,,19216,,,11559,1810,,,,70239,,17115,83282,,,,0,,19751,989,,CHRISTIAN COMMUNITY DEVELOPMENT ASSOCIATION,,19030,197029,EIN_412227656_YEAR_2009_FORMTYPE_990.pdf,26,9015,,102728,3608,,,,48101,650238,2007,,,14688,,,971848,,83646,1318,17115,,0,,,852,321610,,,276,,,,,28459,,971848,,,,,DIRECT NATIONAL CONFERE a,,,bd283bcb4765450a02b4f8ec5828b5af6eda5dda782d293cd640d4f8c7f5acbb,47182,12764,,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F41-2227656_990_200912.pdf,,,,,,,,,,
412227656_2010,91564,1751,,,2010,,,,,526385,,,,,15999,CONSULTING FEES b,IL,,,60608,,257454,17711,86307,,30,,,3316,,,25129,,. THE ANNUAL CONFERENCE,,33996,,1594,1663,,239039,125,553,,6930,IL,,,,603718,,,,TRAVEL c,CHICAGO,,,,412227656,,,1148367,,,,,8,,,,,,,,3709,CCDA.ORG,242384,DIRECT REGIONAL CONFERE d,1100 W. CERMAK RD. B414,,84414,,127418,,,,,,982710,308662,28679,,,1518,,19855,,,178,262,334720,3381,40016,,,,,,,0,,,40016,,,68276,26058,,,,,0,37661,,,,,-1786,,25639,,,CHRISTIAN COMMUNITY DEVELOPMENT ASSOCIATION,,,257454,EIN_412227656_YEAR_2010_FORMTYPE_990.pdf,30,6930,,,4517,,,,123684,684048,2007,,,26169,,,1108698,1901,84414,1377,37923,,13946,,,1256,424650,,,215,,,,,95306,,1108698,,,,,DIRECT NATIONAL CONFERE a,1148367,,35d5e512e2dbd7eff84c3348fcb8ae4774054c7c68b84cbdd5ab761b92e2c44d,41574,23395,,https://projects.propublica.org/nonprofits/download-filing?path=2011_11_EO%2F41-2227656_990_201012.pdf,,,,,,,,,,
522292448_2010,,,,,2010,16000,,,,780920,,3250,,,121366,Printing and Publications,NJ,,0,08701,,,0,,,5,,46259,,,0,10766,,PROVIDE SUPPORT TO SCHOOL IN ISRAEL FOR SEVERLY HANDICAPPED CHILDREN,527872,6860,2031,,,,,,0,,12090,NY,,,,0,0,0,,Contract Labor,LAKEWOOD,,0,,522292448,,,780920,0,,366,,2,,1,,,0,,,0,N/A,0,Computer Expenses,1125 OCEAN AVE,,226525,,121366,,,7077,,0,527872,379886,8295,,,,0,,,272,,6016,2036387,,2031,0,,,,,272,0,,,,0,,,1656501,,,0,,527872,,10010,,,,,,,366,,AMERICAN FRIENDS OF MESHI INC,3185,,3250,EIN_522292448_YEAR_2010_FORMTYPE_990.pdf,6,12090,43074,7077,600,,527872,,6860,97377,,0,,0,0,,770910,,226525,8295,6016,,0,,,,145661,,,,16000,0,,,10766,0,770910,,0,,,Website,780920,0,e14f991a8f02e4da26f2cf5d4f6ddd81cb6d7dde0dd306c2c913c3a9f14b6f95,16513,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F52-2292448_990_201012.pdf,,,,,,,,,,
910982722_2009,106045,,2320,203401,2009,57966,,,,1552587,,8815,,,9500,Food,WA,,,60007,,19138,132012,24953,,17,,9055,9884,6769,,,,TO PROVIDE SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,,,,,14871,,,94,1090,,13192,WA,,,1181,9530,,6211,6224,,EVERETT,,23423,,910982722,,,1900488,,,73890,,36,,,,23423,,8551,,27005,dvs-snoco.org,,,PO BOX 7,,135774,10010,135305,,,,,,1363878,386026,116675,,,13087,221962,19760,1671,3009,1774,3703,567128,,,14966,,4582,,,16714,0,,,,,9049,,181102,,,,5877,23423,24953,-38208,448,,,0,,90395,6518,,DOMESTIC VIOLENCE SERVICES OF SNOHOMISH COUNTY,4,61148,32462,EIN_910982722_YEAR_2009_FORMTYPE_990.pdf,17,13192,2,,455,,,,24953,455298,1976,,4509,142712,0,,1733427,,135774,11409,24953,,0,,,14808,1254706,,,15347,860014,,,,,,1733427,,,672536,12034,MISCELLANEOUS,1695219,,751d23385b807767eaec22a95cd396174eb91090fcdda20555e7cca93987e676,233775,114817,,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F91-0982722_990_200906.pdf,,,,,,,,,,
910982722_2010,,7687,17774,177220,2010,61332,,,,1641766,,1507,740,,,MISCELLANEOUS,WA,,,60007,,29661,120559,14909,,13,,100,2417,10651,,,,"Domestic Violence Services is dedicated to ending domestic abuse by providing a wide range of services for victims, including their children, and by facilitating social change",,7780,2953,16147,20296,,88271,133,3324,,,WA,,,816,7780,,4609,5169,food c,EVERETT,,32635,,910982722,,,1991304,,,42863,517,40,,,,32635,,6441,,17178,snocoorg,112105,repairs and maintenance,P O BOX 7,,122375,9641,,,,480,,,1354892,445522,106075,,125974,20816,193302,,1659,2914,,876,639074,4319,20789,34307,,3523,,,16869,0,11761,,17096,,100,26545,193552,,,,5882,32635,9283,53791,270,,,0,,79683,1383,,DOMESTIC VIOLENCE SERVICES OF SNOHOMISH COUNTY,,36311,36243,EIN_910982722_YEAR_2010_FORMTYPE_990.pdf,13,,,12758,935,,,,27008,443928,1976,,5075,153641,0,,1719638,263,122375,6096,11094,,0,,,6221,1243075,,,14761,871254,,,,26808,,1719638,,,683948,12296,supplies a,1773429,,8bd8bdf7234907cd6c02228dd5f5bb7d6ac74987d0985e7ade4ef53f0c264e82,242371,126604,,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F91-0982722_990_201006.pdf,,,,,,,,,,
221841274_2008,115945,0,0,53204,2008,0,0,0,,348097,0,0,,0,31514,Bad Debt Expense,VA,,0,20110,0,0,218138,66968,0,4,0,56177,0,0,76778,,,"The work of NRB is to proclaim the good news of eternal life through faith in Jesus Christ, to transform the culture through the application of sound biblical teaching, and to perserve religious freedom by keeping the doors of electronic media open for the spread of the Gospel.",0,0,,0,18610,0,0,6,18245,904300,23938,DC,5626,0,0,3285000,0,38386,0,c,Manassas,4070,0,,221841274,1565,0,3880572,909926,0,348178,41402,5,0,,0,0,0,0,0,83095,www.nrb.org,0,d,type. 9510 Technology Drive See Specific,0,39305,107422,466744,,0,0,,0,2712175,556000,87495,,293640,27569,160626,319285,0,14425,0,,3573320,0,,32159,23608,0,0,,14425,0,37558,0,,0,46019,,3017320,0,56196,60116,32159,0,,-146876,38386,0,0,0,0,67589,130815,,"may have to use a copy of this return to satisfy state reporting requirements. For the 2008 calendar year, or tax year beginning 01/01 2008, and ending Please c Name of organization National Religious Broadcasters use IRS",10158,217363,36570,EIN_221841274_YEAR_2008_FORMTYPE_990.pdf,3,23938,0,78960,,0,0,,66968,2038387,1944,0,36570,168395,0,,4016356,,39305,1296,,0,126371,34943,,4930,1977969,,0,83095,1195219,56196,51935,0,,56005,4016356,,0,901579,0,Executive Committee a,3869480,0,fa756709996b867cd66d4772d4657b79a73f506e9f88771a7f8ea4f4175bf8d9,1264876,135896,76778,https://projects.propublica.org/nonprofits/download-filing?path=2009_12_EO%2F22-1841274_990_200812.pdf,,,,,,,,,,
221841274_2009,229055,0,0,70804,2009,0,0,0,,488994,0,0,,0,27878,Bad Debt Expense,VA,,0,20110,0,0,331598,74971,0,4,0,34081,0,0,75998,0,0,"The work of NRB is to proclaim the good news of eternal life through faith in Jesus Christ, to transform the culture through the application of sound biblical teaching, and to perserve religious freedom by keeping the doors of electronic media open for the spread of the Gospel.",76000,0,,0,22926,0,0,6,6479,683107,24436,DC,7685,0,143,2996705,0,4665,0,Project Disbursements c,Manassas,8765,0,0,221841274,391,0,3834787,690792,0,295021,29857,29,0,0,0,0,0,0,0,85118,,0,d,type 9510 Technology Drive See Specific,0,33337,102666,547012,,0,0,,0,2383446,674524,86757,,269099,40620,173470,290079,0,11172,0,,3333119,0,,13270,5282,0,0,0,11172,,36572,0,,0,30053,27640,2658595,0,62574,14737,13270,0,,255242,4522,0,0,0,0,62561,110803,,"may have to use a copy of this return to satisfy state reporting requirements Internal Revenue Service A For the 2009 calendar year, or tax year beginning 01/01 2009, and ending 12/31 , Please c Name of organization National Religious Broadcasters use IRS",4028,184218,33835,EIN_221841274_YEAR_2009_FORMTYPE_990.pdf,3,24436,0,66429,,0,76000,,74971,1720241,1944,0,33835,145069,3568534,,3568534,0,,1270,,0,91540,9064,76000,3798,1772293,,0,85118,978718,62574,38004,0,27640,46769,3568534,,0,709619,0,Executive Committee a,,0,e2ea02cd6f5bcb5803d4f33130820fa17577b71035908d6084210480ebbb4099,1151751,100651,75998,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F22-1841274_990_200912.pdf,,,,,,,,,,
510153566_2011,110818,0,0,8343,2011,0,0,0,,343499,0,0,1780,0,15572,Equipment,MD,,0,21401,0,10753,0,2215,0,4,0,0,0,0,0,0,,"The mission of the Center for Public Justice IS to Serve God, Advance Justice, and Transform Public Life as we seek to Equip Citizens, Develop Leaders and Shape Policy The Center for Public Justice IS an independent, non-partisan organization dedicated to public policy research, leadership development, and CIVIC education",0,0,0,0,4809,0,,6,-127,36763,6000,IL,22845,0,0,31627,0,0,2058,Wisdom Projest,Annapolis,11466,0,,510153566,1412,0,375082,59608,0,11750,527,5,0,,0,0,0,0,0,1229,www cpjustice org,0,Bank Fees,2444 Solomons Island Road 201,0,24132,8343,166215,,0,0,,0,251376,20470,15316,,22070,8454,16686,39825,0,4134,0,0,23507,4161,1780,0,4643,0,0,,4134,0,10369,0,0,0,0,2500,3037,0,0,14697,0,0,1500,-36980,0,0,0,0,0,8939,6161,,Center for Public Justice,0,3531,10753,EIN_510153566_YEAR_2011_FORMTYPE_990.pdf,3,6000,0,10896,0,0,0,,6376,148009,1974,0,0,32825,0,,412062,0,24132,1568,1500,0,0,8642,,3522,264053,,0,1229,35000,,0,0,2500,11466,412062,,0,12930,0,Capital Commentary Publication,375082,0,291517e80af3fcdd81c9f667dcb9564852a59c6af14cb99eee22fd30f8caeae1,136554,20849,0,https://projects.propublica.org/nonprofits/download-filing?path=2011_11_EO%2F51-0153566_990_201106.pdf,,,,,,,,,,
581974429_2009,46923,,,9246,2009,0,,,,2689330,,0,34192,,47611,SCHOLARSHIPS,GA,,,30303,,142989,261657,83807,,,,31650,0,,,443,,"THE MISSION OF THE ORGANIZATION IS TO PROVIDE SUPPORT FOR NATIONAL YOUTH AND COMMUNITY MENTORING, HEALTH AND WELLNESS, EDUCATIONAL AWARENESS, SCHOLARSHIP AND ECONOMIC DEVELOPMENT PROGRAMS AND TO PROVIDE ASSISTANCE TO 111 LOCAL CHAPTERS LOCATED IN MAJOR CITIES THROUGHOUT THE UNITED STATES AND OTHER COUNTRIES IN CARRYING OUT THESE PROGRAMS.",,0,3519,,,0,,,825,,3375,,41629,,1688,5234,,1688,23289,BANK & PROCESSING FEES,+ 4 ATLANTA,,,,581974429,,13649,2957046,1395404,35500,179727,92038,,,,,,,0,,10908,w.100blackmen.org,,"CONSULTANTS 132,242.",,,113620,18594,189068,,0,9653,,,,1244422,,,79633,30615,27840,94534,,,0,0,2908345,0,132242,,,0,0,,,,173774,,94531,,24227,0,1663923,,,,,,14466,86523,0,,,,,,81486,,,7423,74952,142989,,,38875,0,275465,0,,,,83807,2469907,1991,,0,58003,,,2870523,12874,113620,,14466,,0,,,7941,400616,,,10908,153545,,,,13317,,2196300,,,73912,,"CHAPTER SUPPORT SERVICES 142,989. a",2957046,,18aae939f410b0e07578a230c2b582019cec97c9f3ccc33a892070e6f0e3e758,560603,19447,4323,https://projects.propublica.org/nonprofits/download-filing?path=2010_01_EO%2F58-1974429_990_200906.pdf,0,,"['EIN', '581974429', 'YEAR', '2009', 'FORMTYPE', '990.pdf']",4323,EIN_581974429_YEAR_2009_FORMTYPE_990.pdf,,,,,
954194642_2008,773043,,23348,127103,2008,62786,,,,4568794,,842,950,,73436,OTHER PROGRAM EVENTS,CA,,,91423,,617079,127215,687759,179536,10,,37489,16664,,,,,EDUCATING THE NEXT GENERATION IN THE VALUES OF FREEDOM AND THE NECESSITY OF DEFENDING THOSE VALUES.,,,,,24667,,,1,16021,1303,43575,CA,8059,,60854,754073,,118031,375388,WRITERS c,SHERMAN OAKS,201353,,,954194642,,,5725107,9362,,602280,17018,16,55283,,,,,6864,,29745,www.HOROWITZFREEDOMCENTER.ORG,,HONORARIUMS,14148 MAGNOLIA BLVD. 103,,836967,23307,1007097,,,25431,,,4442596,1142950,154668,,137325,27242,157274,160618,3030,4055,894,15252,1646789,,85700,367435,,,,,62584,,91612,,84750,179536,36954,114784,503839,,,,344087,,48835,,57177,,,0,,118723,43531,,DAVID HOROWITZ FREEDOM CENTER (FKA CENTER FOR THE STUDY OF POPULAR CULTURE),535,183361,711265,EIN_954194642_YEAR_2008_FORMTYPE_990.pdf,15,43575,,134061,21004,,,,687759,3621388,1988,,93344,170810,179536,,5994547,,836967,11278,64087,,23734,,,12455,2193623,,,12187,861048,,13365,,114784,270001,5994547,,,660937,55499,MAIL SERVICES a,5466103,,e33c25c30b918f7782c2e1c1f433e8bb85090dd435d633e862d8d65942f0c73e,714984,131113,,https://projects.propublica.org/nonprofits/download-filing?path=2009_07_EO%2F95-4194642_990_200812.pdf,,,,,,,,,,
954194642_2009,565396,,21647,138779,2009,19012,,,,3794891,,,764,,34979,Book Expenses,CA,,,91423,,426626,95430,42872,295010,7,,7776,16440,22406,,3283,,EDUCATING THE NEXT GENERATION IN THE VALUES OF FREEDOM AND THE NEcessity OF DEFENDING THOSE VALUES,,25344,904,,,,,10,502,15492,34500,CA,3802,,,590343,,,149363,Licenses & other Fees,Sherman Oaks,178930,2000,,954194642,,,4709623,19294,,587026,29833,21,46421,,,2000,,8204,,19889,WWWHOROWITZFREEDOMCENTERORG,,Miscellaneous,14148 Magnolia Blvd No 103,,622488,54781,737093,,,4762,,,3475076,1146789,,,8763,17225,201764,136718,3379,4598,1871,,1339331,,9614,341002,,,,,69685,0,37607,,7946,295010,7776,28851,192542,,,,296949,2000,,3839,,,,-11075,,,51658,,David Horowitz Freedom Center(FK Center For The Study of Popular Culture),,386005,426626,EIN_954194642_YEAR_2009_FORMTYPE_990.pdf,12,34500,,72202,,,,,68216,2128975,1988,,,270522,295010,,4477327,2768,622488,,,,12573,,,7550,2051342,,,1578,1043727,,11128,,34902,236479,4477327,,,1015952,61708,Other Program Events,4481166,,9233510f0e14156a515adc3b4f19a215c3e63d8b04b3a3123a9d50f556a5e685,379763,245747,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F95-4194642_990_200912.pdf,,,,,,,,,,
