field_name,strategy,left,left_delta,top,top_delta,right,right_delta,bottom,bottom_delta,page,regex
grants_us_govt_orgs_total,words,Total expenses,-0.001,"Part IX, Item 1",-0.001,Program service expenses,0,"Part IX, Item 2",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_govt_orgs_prog_service,words,Program service expenses,-0.001,"Part IX, Item 1",-0.001,Management and general expenses,0,"Part IX, Item 2",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_govt_orgs_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 1",-0.001,Fundraising expenses,0,"Part IX, Item 2",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_govt_orgs_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 1",-0.001,Bottom Right Corner,0,"Part IX, Item 2",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_individuals_total,words,Total expenses,-0.001,"Part IX, Item 2",-0.001,Program service expenses,0,"Part IX, Item 3",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_individuals_prog_service,words,Program service expenses,-0.001,"Part IX, Item 2",-0.001,Management and general expenses,0,"Part IX, Item 3",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_individuals_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 2",-0.001,Fundraising expenses,0,"Part IX, Item 3",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_us_individuals_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 2",-0.001,Bottom Right Corner,0,"Part IX, Item 3",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_foreign_individuals_govt_orgs_total,words,Total expenses,-0.001,"Part IX, Item 3",-0.001,Program service expenses,0,"Part IX, Item 4",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_foreign_individuals_govt_orgs_prog_service,words,Program service expenses,-0.001,"Part IX, Item 3",-0.001,Management and general expenses,0,"Part IX, Item 4",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_foreign_individuals_govt_orgs_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 3",-0.001,Fundraising expenses,0,"Part IX, Item 4",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
grants_foreign_individuals_govt_orgs_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 3",-0.001,Bottom Right Corner,0,"Part IX, Item 4",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
benefits_to_members_total,words,Total expenses,-0.001,"Part IX, Item 4",-0.001,Program service expenses,0,"Part IX, Item 5",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
benefits_to_members_prog_service,words,Program service expenses,-0.001,"Part IX, Item 4",-0.001,Management and general expenses,0,"Part IX, Item 5",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
benefits_to_members_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 4",-0.001,Fundraising expenses,0,"Part IX, Item 5",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
benefits_to_members_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 4",-0.001,Bottom Right Corner,0,"Part IX, Item 5",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_officers_total,words,Total expenses,-0.001,"Part IX, Item 5",-0.001,Program service expenses,0,"Part IX, Item 6",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_officers_prog_service,words,Program service expenses,-0.001,"Part IX, Item 5",-0.001,Management and general expenses,0,"Part IX, Item 6",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_officers_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 5",-0.001,Fundraising expenses,0,"Part IX, Item 6",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_officers_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 5",-0.001,Bottom Right Corner,0,"Part IX, Item 6",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_disq_persons_total,words,Total expenses,-0.001,"Part IX, Item 6",-0.001,Program service expenses,0,"Part IX, Item 7",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_disq_persons_prog_service,words,Program service expenses,-0.001,"Part IX, Item 6",-0.001,Management and general expenses,0,"Part IX, Item 7",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_disq_persons_mgmt_and_general,words,Management and general expenses,-0.001,"Part IX, Item 6",-0.001,Fundraising expenses,0,"Part IX, Item 7",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
compensation_disq_persons_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 6",-0.001,Bottom Right Corner,0,"Part IX, Item 7",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_salaries_wages_total,words,Total expenses,-0.001,"Part IX, Item 7",-0.001,Program service expenses,0,"Part IX, Item 8",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_salaries_wages_prog_service,words,Program service expenses,-0.001,"Part IX, Item 7",-0.001,Management and general expenses,0,"Part IX, Item 8",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_salaries_wages_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 7",-0.001,Fundraising expenses,0,"Part IX, Item 8",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_salaries_wages_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 7",-0.001,Bottom Right Corner,0,"Part IX, Item 8",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
pension_plan_acc_contrib_total,words,Total expenses,-0.001,"Part IX, Item 8",-0.001,Program service expenses,0,"Part IX, Item 9",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
pension_plan_acc_contrib_prog_service,words,Program service expenses,-0.001,"Part IX, Item 8",-0.001,Management and general expenses,0,"Part IX, Item 9",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
pension_plan_acc_contrib_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 8",-0.001,Fundraising expenses,0,"Part IX, Item 9",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
pension_plan_acc_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 8",-0.001,Bottom Right Corner,0,"Part IX, Item 9",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_employee_benefits_total,words,Total expenses,-0.001,"Part IX, Item 9",-0.001,Program service expenses,0,"Part IX, Item 10",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_employee_benefits_prog_service,words,Program service expenses,-0.001,"Part IX, Item 9",-0.001,Management and general expenses,0,"Part IX, Item 10",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_employee_benefits_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 9",-0.001,Fundraising expenses,0,"Part IX, Item 10",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
other_employee_benefits_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 9",-0.001,Bottom Right Corner,0,"Part IX, Item 10",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payroll_taxes_total,words,Total expenses,-0.001,"Part IX, Item 10",-0.001,Program service expenses,0,"Part IX, Item 11a",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payroll_taxes_prog_service,words,Program service expenses,-0.001,"Part IX, Item 10",-0.001,Management and general expenses,0,"Part IX, Item 11a",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payroll_taxes_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 10",-0.001,Fundraising expenses,0,"Part IX, Item 11a",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payroll_taxes_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 10",-0.001,Bottom Right Corner,0,"Part IX, Item 11a",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_mgmt_services_total,words,Total expenses,-0.001,"Part IX, Item 11a",-0.001,Program service expenses,0,"Part IX, Item 11b",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_mgmt_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11a",-0.001,Management and general expenses,0,"Part IX, Item 11b",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_mgmt_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11a",-0.001,Fundraising expenses,0,"Part IX, Item 11b",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_mgmt_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11a",-0.001,Bottom Right Corner,0,"Part IX, Item 11b",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_legal_services_total,words,Total expenses,-0.001,"Part IX, Item 11b",-0.001,Program service expenses,0,"Part IX, Item 11c",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_legal_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11b",-0.001,Management and general expenses,0,"Part IX, Item 11c",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_legal_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11b",-0.001,Fundraising expenses,0,"Part IX, Item 11c",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_legal_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11b",-0.001,Bottom Right Corner,0,"Part IX, Item 11c",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_accounting_services_total,words,Total expenses,-0.001,"Part IX, Item 11c",-0.001,Program service expenses,0,"Part IX, Item 11d",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_accounting_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11c",-0.001,Management and general expenses,0,"Part IX, Item 11d",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_accounting_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11c",-0.001,Fundraising expenses,0,"Part IX, Item 11d",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_accounting_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11c",-0.001,Bottom Right Corner,0,"Part IX, Item 11d",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_lobbying_services_total,words,Total expenses,-0.001,"Part IX, Item 11d",-0.001,Program service expenses,0,"Part IX, Item 11e",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_lobbying_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11d",-0.001,Management and general expenses,0,"Part IX, Item 11e",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_lobbying_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11d",-0.001,Fundraising expenses,0,"Part IX, Item 11e",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_lobbying_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11d",-0.001,Bottom Right Corner,0,"Part IX, Item 11e",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_fundraising_services_total,words,Total expenses,-0.001,"Part IX, Item 11e",-0.001,Program service expenses,0,"Part IX, Item 11f",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_fundraising_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11e",-0.001,Management and general expenses,0,"Part IX, Item 11f",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_fundraising_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11e",-0.001,Fundraising expenses,0,"Part IX, Item 11f",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_fundraising_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11e",-0.001,Bottom Right Corner,0,"Part IX, Item 11f",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_investment_mgmt_services_total,words,Total expenses,-0.001,"Part IX, Item 11f",-0.001,Program service expenses,0,"Part IX, Item 11g",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_investment_mgmt_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11f",-0.001,Management and general expenses,0,"Part IX, Item 11g",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_investment_mgmt_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11f",-0.001,Fundraising expenses,0,"Part IX, Item 11g",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_investment_mgmt_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11f",-0.001,Bottom Right Corner,0,"Part IX, Item 11g",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_other_services_total,words,Total expenses,-0.001,"Part IX, Item 11g",-0.001,Program service expenses,0,"Part IX, Item 12",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_other_services_prog_service,words,Program service expenses,-0.001,"Part IX, Item 11g",-0.001,Management and general expenses,0,"Part IX, Item 12",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_other_services_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 11g",-0.001,Fundraising expenses,0,"Part IX, Item 12",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
fees_for_other_services_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 11g",-0.001,Bottom Right Corner,0,"Part IX, Item 12",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
advertising_promotion_total,words,Total expenses,-0.001,"Part IX, Item 12",-0.001,Program service expenses,0,"Part IX, Item 13",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
advertising_promotion_prog_service,words,Program service expenses,-0.001,"Part IX, Item 12",-0.001,Management and general expenses,0,"Part IX, Item 13",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
advertising_promotion_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 12",-0.001,Fundraising expenses,0,"Part IX, Item 13",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
advertising_promotion_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 12",-0.001,Bottom Right Corner,0,"Part IX, Item 13",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
office_expenses_total,words,Total expenses,-0.001,"Part IX, Item 13",-0.001,Program service expenses,0,"Part IX, Item 14",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
office_expenses_prog_service,words,Program service expenses,-0.001,"Part IX, Item 13",-0.001,Management and general expenses,0,"Part IX, Item 14",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
office_expenses_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 13",-0.001,Fundraising expenses,0,"Part IX, Item 14",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
office_expenses_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 13",-0.001,Bottom Right Corner,0,"Part IX, Item 14",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
it_expenses_total,words,Total expenses,-0.001,"Part IX, Item 14",-0.001,Program service expenses,0,"Part IX, Item 15",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
it_expenses_prog_service,words,Program service expenses,-0.001,"Part IX, Item 14",-0.001,Management and general expenses,0,"Part IX, Item 15",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
it_expenses_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 14",-0.001,Fundraising expenses,0,"Part IX, Item 15",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
it_expenses_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 14",-0.001,Bottom Right Corner,0,"Part IX, Item 15",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
royalties_total,words,Total expenses,-0.001,"Part IX, Item 15",-0.001,Program service expenses,0,"Part IX, Item 16",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
royalties_prog_service,words,Program service expenses,-0.001,"Part IX, Item 15",-0.001,Management and general expenses,0,"Part IX, Item 16",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
royalties_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 15",-0.001,Fundraising expenses,0,"Part IX, Item 16",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
royalties_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 15",-0.001,Bottom Right Corner,0,"Part IX, Item 16",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
occupancy_total,words,Total expenses,-0.001,"Part IX, Item 16",-0.001,Program service expenses,0,"Part IX, Item 17",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
occupancy_prog_service,words,Program service expenses,-0.001,"Part IX, Item 16",-0.001,Management and general expenses,0,"Part IX, Item 17",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
occupancy_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 16",-0.001,Fundraising expenses,0,"Part IX, Item 17",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
occupancy_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 16",-0.001,Bottom Right Corner,0,"Part IX, Item 17",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
travel_total,words,Total expenses,-0.001,"Part IX, Item 17",-0.001,Program service expenses,0,"Part IX, Item 18",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
travel_prog_service,words,Program service expenses,-0.001,"Part IX, Item 17",-0.001,Management and general expenses,0,"Part IX, Item 18",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
travel_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 17",-0.001,Fundraising expenses,0,"Part IX, Item 18",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
travel_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 17",-0.001,Bottom Right Corner,0,"Part IX, Item 18",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
entertainment_travel_govt_officials_total,words,Total expenses,-0.001,"Part IX, Item 18",-0.001,Program service expenses,0,"Part IX, Item 19",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
entertainment_travel_govt_officials_prog_service,words,Program service expenses,-0.001,"Part IX, Item 18",-0.001,Management and general expenses,0,"Part IX, Item 19",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
entertainment_travel_govt_officials_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 18",-0.001,Fundraising expenses,0,"Part IX, Item 19",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
entertainment_travel_govt_officials_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 18",-0.001,Bottom Right Corner,0,"Part IX, Item 19",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
conferences_conventions_total,words,Total expenses,-0.001,"Part IX, Item 19",-0.001,Program service expenses,0,"Part IX, Item 20",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
conferences_conventions_prog_service,words,Program service expenses,-0.001,"Part IX, Item 19",-0.001,Management and general expenses,0,"Part IX, Item 20",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
conferences_conventions_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 19",-0.001,Fundraising expenses,0,"Part IX, Item 20",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
conferences_conventions_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 19",-0.001,Bottom Right Corner,0,"Part IX, Item 20",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
interest_general,words,Total expenses,-0.001,"Part IX, Item 20",-0.001,Program service expenses,0,"Part IX, Item 21",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
interest_prog_service,words,Program service expenses,-0.001,"Part IX, Item 20",-0.001,Management and general expenses,0,"Part IX, Item 21",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
interest_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 20",-0.001,Fundraising expenses,0,"Part IX, Item 21",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
interest_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 20",-0.001,Bottom Right Corner,0,"Part IX, Item 21",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payments_affiliates_total,words,Total expenses,-0.001,"Part IX, Item 21",-0.001,Program service expenses,0,"Part IX, Item 22",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payments_affiliates_prog_service,words,Program service expenses,-0.001,"Part IX, Item 21",-0.001,Management and general expenses,0,"Part IX, Item 22",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payments_affiliates_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 21",-0.001,Fundraising expenses,0,"Part IX, Item 22",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
payments_affiliates_fundraising,words,Fundraising expenses,-0.001,"Part IX, Item 21",-0.001,Bottom Right Corner,0,"Part IX, Item 22",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
depreciation_depletion_amortization_total,words,Total expenses,-0.001,"Part IX, Item 22",-0.001,Program service expenses,0,"Part IX, Item 23",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
depreciation_depletion_amortization_prog_service,words,Program service expenses,-0.001,"Part IX, Item 22",-0.001,Management and general expenses,0,"Part IX, Item 23",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
depreciation_depletion_amortization_mgmt_general,words,Management and general expenses,-0.001,"Part IX, Item 22",-0.001,Fundraising expenses,0,"Part IX, Item 23",-0.001,Page 10,"\$?([-()\d,.OoZSlI]+)"
