filing_id,ein,pdf_key,job_id,year,name,address,city,state,zip,website,gross_receipts,year_formation,state_of_domicile,mission,num_voting_members,num_independent_members,num_employees,num_volunteers,total_unrelated_biz_revenue,net_unrelated_biz_taxable_revenue,contributions_grants_revenue,program_service_revenue,investment_income_revenue,other_revenue,total_revenue,grants_paid_expenses,benefits_paid_members_expenses,salaries_compensation_benefits_expenses,professional_fundraising_fees_expenses,total_fundraising_expenses,other_expenses,total_expenses,revenue_less_expenses,total_assets,total_liabilities,net_assets,grants_us_govt_orgs_total,grants_us_govt_orgs_prog_service,grants_us_govt_orgs_mgmt_and_general,grants_us_govt_orgs_fundraising,grants_us_individuals_total,grants_us_individuals_prog_service,grants_us_individuals_mgmt_and_general,grants_us_individuals_fundraising,grants_foreign_individuals_govt_orgs_total,grants_foreign_individuals_govt_orgs_prog_service,grants_foreign_individuals_govt_orgs_mgmt_and_general,grants_foreign_individuals_govt_orgs_fundraising,benefits_to_members_total,benefits_to_members_prog_service,benefits_to_members_mgmt_and_general,benefits_to_members_fundraising,compensation_officers_total,compensation_officers_prog_service,compensation_officers_mgmt_and_general,compensation_officers_fundraising,compensation_disq_persons_total,compensation_disq_persons_prog_service,compensation_disq_persons_mgmt_and_general,compensation_disq_persons_fundraising,other_salaries_wages_total,other_salaries_wages_prog_service,other_salaries_wages_mgmt_general,other_salaries_wages_fundraising,pension_plan_acc_contrib_total,pension_plan_acc_contrib_prog_service,pension_plan_acc_contrib_mgmt_general,pension_plan_acc_fundraising,other_employee_benefits_total,other_employee_benefits_prog_service,other_employee_benefits_mgmt_general,other_employee_benefits_fundraising,payroll_taxes_total,payroll_taxes_prog_service,payroll_taxes_mgmt_general,payroll_taxes_fundraising,fees_for_mgmt_services_total,fees_for_mgmt_services_prog_service,fees_for_mgmt_services_mgmt_general,fees_for_mgmt_services_fundraising,fees_for_legal_services_total,fees_for_legal_services_prog_service,fees_for_legal_services_mgmt_general,fees_for_legal_services_fundraising,fees_for_accounting_services_total,fees_for_accounting_services_prog_service,fees_for_accounting_services_mgmt_general,fees_for_accounting_services_fundraising,fees_for_lobbying_services_total,fees_for_lobbying_services_prog_service,fees_for_lobbying_services_mgmt_general,fees_for_lobbying_services_fundraising,fees_for_fundraising_services_total,fees_for_fundraising_services_prog_service,fees_for_fundraising_services_mgmt_general,fees_for_fundraising_services_fundraising,fees_for_investment_mgmt_services_total,fees_for_investment_mgmt_services_prog_service,fees_for_investment_mgmt_services_mgmt_general,fees_for_investment_mgmt_services_fundraising,fees_for_other_services_total,fees_for_other_services_prog_service,fees_for_other_services_mgmt_general,fees_for_other_services_fundraising,advertising_promotion_total,advertising_promotion_prog_service,advertising_promotion_mgmt_general,advertising_promotion_fundraising,office_expenses_total,office_expenses_prog_service,office_expenses_mgmt_general,office_expenses_fundraising,it_expenses_total,it_expenses_prog_service,it_expenses_mgmt_general,it_expenses_fundraising,royalties_total,royalties_prog_service,royalties_mgmt_general,royalties_fundraising,occupancy_total,occupancy_prog_service,occupancy_mgmt_general,occupancy_fundraising,travel_total,travel_prog_service,travel_mgmt_general,travel_fundraising,entertainment_travel_govt_officials_total,entertainment_travel_govt_officials_prog_service,entertainment_travel_govt_officials_mgmt_general,entertainment_travel_govt_officials_fundraising,conferences_conventions_total,conferences_conventions_prog_service,conferences_conventions_mgmt_general,conferences_conventions_fundraising,interest_total,interest_prog_service,interest_mgmt_general,interest_fundraising,payments_affiliates_total,payments_affiliates_prog_service,payments_affiliates_mgmt_general,payments_affiliates_fundraising,depreciation_depletion_amortization_total,depreciation_depletion_amortization_prog_service,depreciation_depletion_amortization_mgmt_general,depreciation_depletion_amortization_fundraising,insurance_total,insurance_prog_service,insurance_mgmt_general,insurance_fundraising,other_expenses_a_label,other_expenses_a_total,other_expenses_a_prog_service,other_expenses_a_mgmt_general,other_expenses_a_fundraising,other_expenses_b_label,other_expenses_b_total,other_expenses_b_prog_service,other_expenses_b_mgmt_general,other_expenses_b_fundraising,other_expenses_c_label,other_expenses_c_total,other_expenses_c_prog_service,other_expenses_c_mgmt_general,other_expenses_c_fundraising,other_expenses_d_label,other_expenses_d_total,other_expenses_d_prog_service,other_expenses_d_mgmt_general,other_expenses_d_fundraising,all_other_expenses_total,all_other_expenses_prog_service,all_other_expenses_mgmt_general,all_other_expenses_fundraising,total_functional_expenses_total,total_functional_expenses_prog_service,total_functional_expenses_mgmt_general,total_functional_expense_fundraising,activities_per_region_totals_number_of_offices,activities_per_region_totals_number_of_employees,activities_per_region_totals_total_expenditure,total_number_recipient_foreign_orgs_listed_as_charities,total_number_other_recipient_foreign_orgs_entities
203973151_2008,203973151,EIN_203973151_YEAR_2008_FORMTYPE_990.pdf,,2008,THANKSUSA,1390 CHAIN BRIDGE ROAD 260,MCLEAN,VA,22101,www. THANKSUSA.ORG,1702520,2005,VA,"THANKSUSA IS A NATIONAL, NON-PARTISAN, CHARITABLE EFFORT TO MOBILIZE AMERICANS OF ALL AGES TO",16,16,1,50,0,0,1679756,,2361,,1682117,1202000,,136217,,20,226069,,-200306,1242152,1016083,226069,,,,,1202000,1202000,,,,,,,,,,,127600,115337,11806,457,,,,,,,,,,,,,,,,,8617,7755,776,86,,,,,,,,,50241,23845,26396,,,,,,,,,,,,,,263880,219060,2282,42538,,,,,23571,22415,787,369,24000,23500,,500,,,,,,,,,35184,32874,785,1525,,,,,74498,74249,210,39,,,,,,,,,,,,,,,,,TREASURE a HUNT PRIZES,29999,29999,,,AMORTIZATION,16817,,16817,,BAD DEBT EXPENSE c,11000,,11000,,MISCELLANEOUS d,6221,2249,3972,,5235,1856,5235,,1882423,1755139,81770,45514,,,,,
203973151_2009,203973151,EIN_203973151_YEAR_2009_FORMTYPE_990.pdf,,2009,ThanksUSA,1390 Chain Bridge Road No 260,McLean,VA,22101,,2176029,2005,VA,"THANKSUSA IS A NATIONAL, NON-PARTISAN, CHARITABLE EFFORT TO MOBILIZE AMERICANS OF ALLAGES TO ""THANK"" THE MEN AND WOMEN OF THE UNITED STATES ARMED FORCES THANKSUSA PROVIDES NEED-BASED SCHOLARSHIPS FOR THEIR CHILDREN AND SPOUSES TO STUDY AT AN ACCREDITED COLLEGE, UNIVERSITY OR VOCATIONAL TECHNICAL SCHOOL",15,15,1,50,0,0,2058717,0,674,5143,2064534,579331,0,114667,0,154883,622923,1316921,747613,1347674,375451,972223,,,,,579331,579331,,,,,,,,,,,112267,86776,21319,4172,,,,,,,,,,,,,,,,,2400,1855,456,89,,,,,,,,,44911,20751,24160,,,,,,,,,,,,,,259689,255639,2675,1375,,,,,15895,10142,270,5483,2431,2210,,221,,,,,,,,,79888,53962,259,25667,,,,,78887,44604,338,33945,,,,,,,,,,,,,,,,,SILENT AUCTION DONATED a,66157,,,66157,TREASURE HUNT PRIZES,27198,27198,,,MISCELLANEOUS,13831,2572,6273,4986,AMORTIZATION,11816,,11816,,11460,16667,-7235,11460,1316921,1101707,60331,154883,,,,,
203973151_2010,203973151,EIN_203973151_YEAR_2010_FORMTYPE_990.pdf,,2010,THANKSUSA,1390 CHAIN BRIDGE ROAD,MCLEAN,VA,22101,WWWTHANKSUSA ORG,1559976,2005,VA,"THANKSUSA IS A ON-PARTISAN, CHARITABLE EFFORT TO MOBILIZE AMERICANS OF ALLAGES TO ""THANK"" THE MEN AND WOMEN OF THE UNITED STATES ARMED FORCES THANKSUSA PROVIDES NEED-BASED SCHOLARSHIPS FOR THEIR CHILDREN AND SPOUSES TO STUDY AT AN ACCREDITED COLLEGE, UNIVERSITY OR VOCATIONAL TECHNICAL SCHOOL",20,20,2,55,0,0,1481364,0,1277,-34768,1447873,768000,0,171445,0,64888,483451,1422896,24977,1438959,439804,999155,,,,,768000,768000,,,,,,,,,,,107400,89250,12900,5250,,,,,50000,32771,15871,1358,,,,,2400,,2400,,11645,8741,2474,430,,,,,,,,,44935,21261,23674,,,,,,,,,,,,,,214714,190103,8879,15732,,,,,15136,13176,1227,733,,,,,,,,,,,,,28256,25170,95,2991,,,,,5973,5973,,,,,,,,,,,1136,,1136,,,,,,IN-KIND GOODS,83107,23614,25277,34216,TREASURE HUNT PRIZES,38120,38120,,,DEBT EXP c BAD,25500,,25500,,EXP d MISC,11308,7735,3431,142,11089,20648,7164,3925,1422896,1244562,113446,64888,,,,,
222823304_2009,222823304,EIN_222823304_YEAR_2009_FORMTYPE_990.pdf,,2009,YESHIVA KTANA OF PASSAIC,181 PENNINGTON AVE,PASSAIC,NJ,07055,N/A,11909489,1987,NJ,EDUCATION,3,2,0,0,0,0,3509868,7761764,510047,127810,11909489,170918,,7926291,,182201,3500730,11597939,311550,45653484,37899292,7754192,170918,170918,,,,,,,,,,,,,,,,,,,,,,,7926291,7342411,583880,,,,,,,,,,,,,,,,,,,,,,12000,,12000,,,,,,,,,,,,,,,,,,11744,,,11744,,,,,,,,,,,,,20000,,20000,,31774,,,31774,,,,,3474,3474,,,1981195,,1981195,,,,,,148623,148623,,,,,,,UTILITIES a,314449,314449,,,BOOKS AND SUPPLIES,229094,229094,,,MAINTENANCE c,165491,165491,,,STUDENT ACTIVITIES d,153269,153269,,,138683,289725,1209,138683,11597939,8817454,2598284,182201,,,,,
222823304_2010,222823304,EIN_222823304_YEAR_2010_FORMTYPE_990.pdf,,2010,YESHIVA KTANA OF PASSAIC,181 PENNINGTON AVE,PASSAIC,NJ,07055,N/A,13419807,1987,NJ,EDUCATION,3,2,0,0,0,0,3927389,8483751,663852,139380,13214372,,8556425,4190080,,,4190080,34122973,,48206797,34122973,14083824,,,,,,,,,,,,,,,,,,,,,,,,,8556425,7881661,674764,,,,,,,,,,,,,,,,,,,,,,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,24000,,46016,,,46016,,,,,6962,6962,,,1943670,,1943670,,,,,,887916,887916,,,40652,,40652,,UTILITIES & TELEPHONE a,344065,344065,,,FUNDRAISING EVENTS,267221,,,267221,BOOKS AND SUPPLIES c,222849,222849,,,MAINTENANCE d,143052,,143052,,92909,92909,21067,9742,12746505,9566321,2857205,322979,,,,,
870212467_2009,870212467,,,2009,,,City,UT,84111,www.ywca.com,6094540,,,"The YWCA is dedicated to eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all",16,16,154,2004,0,0,,500230,64104,800841,4859874,,,2950245,,312129,1094393,4044638,815236,22804304,551138,22253166,,,,,,,,,,,,,,,,,442542,154702,150836,137004,0,0,0,0,1984758,,,97954,,,,,275161,260055,,15106,149830,142337,,7493,24782,19782,5000,,8527,1705,6822,,42224,22021,18500,1703,19010,9554,9456,,,,,,19010,9554,9456,,7222,7222,,,,,,,76777,61105,9784,5888,,,,,,,,,155136,149448,4227,1461,10900,6884,3922,94,,,,,20926,9432,10913,581,,24543,1292,,31364,,31364,,155995,145855,4680,5460,50652,44250,5767,635,In-kind a Expense,226218,226218,,,Food b,73986,72896,1040,,,54295,54295,,,Computer Fees,27135,18642,4619,3874,23624,4658,377,18589,3454460,,278049,312129,,,,,
870212467_2010,870212467,,,2010,,,City,UT,84111,www.ywca.com,6254482,,UT,"The YWCA is dedicated to eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all",15,15,152,2175,0,0,4378337,506339,163870,297556,5346102,,,2832384,,296577,1069411,3901795,1444307,24468969,625641,23843328,,,,,,,,,,,,,,,,,381128,132523,129232,119373,0,0,0,0,112588,100225,5672,6691,,,,,230832,205485,,,168186,149719,8472,9995,,,,,23324,,,,37931,29321,7500,1110,19877,9831,10046,607,,,,,19877,,,,20757,16045,4105,607,,,,,57171,48679,5026,3466,38241,,,,,,,,200362,,,,,,,,,,,,45096,32987,9786,2323,,20027,1054,,33958,,33958,,145109,134226,5804,5079,44956,39180,5147,629,In-kind Expense,,,,,Food,70567,69097,1470,,Client Assistance,,,,,and Publications,19751,1038,653,18060,12351,1139,1815,9397,,,,,,,,,
351836687_2009,351836687,EIN_351836687_YEAR_2009_FORMTYPE_990.pdf,,2009,Educational Choice Charitable Trust,One North Capitol Avenue,Indianapolis,IN,46204,,1100854,1991,IN,TO PROVIDE TUITION ASSISTANCE TO LOW-INCOME FAMILIES FOR PRIMARY AND SECONDARY EDUCATION SEE SCHEDULE o,14,13,2,10,0,,1090126,0,118,-47249,1042995,706564,0,181787,0,44727,61792,950143,92852,194542,0,194542,706564,706564,,,0,,,,0,,,,0,,,,58820,5882,23528,29410,0,,,,106494,74546,,,0,,,,3840,3840,,,12633,5053,4422,3158,0,,,,1002,401,601,,5062,2025,3037,,0,,,,0,,,,1569,628,941,,0,,,,8512,3405,,5107,10510,4204,1051,5255,0,,,,0,,,,23306,9322,13984,,8021,3208,3208,1605,0,,,,703,281,281,141,85,34,51,,0,,,,1230,492,738,,1541,616,925,,OTHER EXPENSES,251,100,100,51,b,,,,,c,,,,,d,,,,,,,,,950143,820601,84815,44727,,,,,
351836687_2010,351836687,EIN_351836687_YEAR_2010_FORMTYPE_990.pdf,,2010,Educational Choice Charitable Trust,1435 N Illinois Street,Indianapolis,IN,46202,,675318,1991,IN,TO PROVIDE TUITION ASSISTANCE TO .O W-INCOME FAMILIES FOR PRIMARY AND SECONDARY EDUCATION SEE ATTACHMENT 2,23,22,2,10,0,,662865,0,3,-18200,644668,483190,0,140513,0,30651,84386,708089,-63421,131121,0,131121,483190,483190,,,0,,,,0,,,,0,,,,89165,43691,30316,15158,0,,,,35787,19695,12676,3416,0,,,,0,,,,15561,5465,4782,5314,0,,,,22500,14376,8124,,3400,1360,2040,,0,,,,0,,,,0,,,,0,,,,0,,,,9604,3988,997,4619,982,393,589,,0,,,,35952,21571,14381,,10718,4287,4287,2144,0,,,,0,,,,0,,,,0,,,,1230,492,738,,0,,,,a,,,,,b,,,,,c,,,,,d,,,,,,,,,708089,598508,78930,30651,,,,,
541940516_2008,541940516,EIN_541940516_YEAR_2008_FORMTYPE_990.pdf,,2008,FOODS RESOURCE BANK,4479 CENTRAL AVE,WESTERN SPRINGS,IL,81715,www FOODSRESOURCEBANK ORG,3336,1999,VA,See Additional Data Table,22,22,11,5,0,,3227460,0,105513,784,3333757,3062367,0,430451,0,80151,322935,3815753,-481996,3641568,52708,3588860,3062367,3062367,,,,,,,,,,,,,,,113848,54774,34460,24614,,,,,273051,181828,,26616,,,,,13092,7209,5357,526,30460,18719,7964,3777,,,,,10088,215,125,9748,54875,,54875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18456,9847,5127,3482,106541,91312,7020,8209,,,,,,,,,,,,,,,,,11016,,11016,,1623,,1623,,MEETING GROW,19706,6819,12887,,PUBLIC EDUCATION,18505,18505,,,SUPPLIES,18107,10177,6609,1321,MISC,15473,295,14958,220,14027,8800,4769,458,3815753,3493335,242267,80151,,,,,
541940516_2009,541940516,,799224624474978598053474900221532766,2009,FOODS RESOURCE BANK,"WESTERN SPRINGS, IL 605581715",P o box if mail,IL,81715,www FO ODS,304016,1999,IL,"FOODS RESOURCE BANK IS A CHRISTIAN, NON-GOVERNMENT, HUMANITARIAN ORGANIZATION COMMITTED TO PROVIDING SUSTAINABLE FOOD SECURITY IN THE DEVELOPING WORLD THROUGH SMALL-SCALE AGRICULTURAL PRODUCTION, THEREBY ALLO WING HUNGRY PEOPLE TO KNOW THE DIGNITY AND HOPE OF FEEDING THEMSELVES IMPLEMENTING MEMBERS ARE CHRISTIAN DENOMINATIONS AND THEIR AGENCIES SUPPORTING MEMBERS PROVIDE INPUTS FOR FOOD SECURITY AND/OR ADVOCACY REVENUES TO SUPPORT FOOD SECURITY PROGRAMS ARE GENERATED THROUGH COMMUNITY GROWING PROJECTS INVOLVING LANDOWNERS, FARMERS, AGRIBUSINESSES, AND CHURCHES",22,22,12,1000,0,,2987197,0,52470,52470,3040167,2127272,0,459397,0,58190,330922,2917591,122576,3740109,28673,3711436,2127272,2127272,,,,,,,,,,,,,,,125585,67522,40644,17419,,,,,291195,206012,60236,24947,291195,,,,11383,7502,3848,33,31234,20542,7531,3161,,,,,30272,,25041,5231,62232,,62232,,,,,,,,,,,,,,,,,,,,,,18199,9280,7097,1822,1599,,1599,,,,,,19620,9998,6103,3519,105813,90867,14528,418,,,,,,,,,,,,,,,,,8567,,8567,,1475,,1475,,expenses below) MEETING COSTS a,26562,15338,10649,575,MISCELLANEOUS,16846,12,16654,180,PHONE,14181,10139,3292,750,SUPPLIES,13245,7601,5509,135,13245,7601,5509,135,2917591,2583974,275427,58190,,,,,
541940516_2011,541940516,,,2011,FOODS RESOURCE BANK,4479 CENTRAL AVE.,,IL,60558,WWW.FOODSRESOURCEBANK.ORG,3766775,1999,VA,SEE SCHEDULE o,,,,,0,,3757005,,9446,,3766775,,463371,,,,392503,3845327,-78552,3543247,,3151432,2989453,,,,,,,,,,,,,,,,128405,60025,50372,18008,,,,,290794,226231,39067,25496,,,,,14393,12324,,,29779,19983,6564,3232,,,,,,,,,19710,,19710,,,,,,,,,,,,,,100295,7465,91897,933,,,,,34638,19742,10072,4824,,,,,,,,,18600,9300,5580,3720,139397,119268,14862,5267,,,,,,,,,,,,,,,,,,,,,3413,,3413,,MEETING COSTS a,,,,,PHONE,17456,11972,4092,1392,PUBLIC EDUCATION c,,,,,MISCELLANEOUS d,9856,969,8073,814,3526,195,3331,,3508209,,273322,63796,,,,,
203519054_2008,203519054,EIN_203519054_YEAR_2008_FORMTYPE_990.pdf,,2008,"may have to use a copy of this return to satisfy state reporting requirements For the 2008 calendar year, or tax year beginning 2008, and ending B Check If applicable Please c Name of organization Adventist Community Services North America Inc use IRS Address change label or", ,,,,,831213,2004,MD,"ACSNA is the humanitarian agency of the Seventh-day Adventist Church that works within the U.S. & Bermuda. ACSNA meets people's immediate needs through social services, such as tutoring and mentoring programs, elder care, inner city projects, disaster response and youth volunteer corps.",3,4,5,6,0,0,691655,69975,68494,-87,830475,403887,0,0,0,2438,447946,851833,-21358,2732714,6672,,403887,403887,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,11050,,11050,,0,,,,0,,,,,,,,0,79549,3396,,36522,26812,9710,,47975,30913,17062,,0,,,,0,,,,0,,,,125068,86378,38690,,0,,,,70040,16971,53069,,0,,,,0,,,,609,590,19,,8815,,8815,,Printing a,27041,17607,6996,2438,Professional Development,16587,10888,5699,,Professional Memberships c,5025,4200,825,,General Expense,16279,10126,6153,,0,,,,851833,687911,161484,2438,,,,,
203519054_2009,203519054,EIN_203519054_YEAR_2009_FORMTYPE_990.pdf,,2009,"may have to use a copy of this return to satisfy state reporting requirements. Internal Revenue Service For the 2009 calendar year, or tax year beginning 2009, and ending c Name of organization Adventist Community Services North America Inc Check if applicable use IRS Please",Name change type. 12501 Old Columbia Pike Specific See,Silver Spring,MD,20904,,675565,2004,MD,"Seventh-day Adventist Church that works within the U.S. & Bermuda. ACSNA meets peoples' immediate needs through social services, such as tutoring and mentoring programs, elder care, inner city projects, disaster response and youth volunteer corps.",3,4,5,1,0,0,640749,18782,16034,0,675565,402396,0,0,0,5590,432952,835348,-159783,2569125,2866,2566259,402396,402396,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,9911,,9911,,0,,,,0,,,,0,,,,93015,93015,,,82111,67137,13649,1325,63532,45001,16334,2197,0,,,,0,,,,0,,,,116854,85425,31429,,0,,,,25989,20675,5314,,0,,,,0,,,,1168,958,210,,8446,,8446,,Printing a,12548,9790,690,2068,Professional Development b,5738,7467,-1729,,Professional Memberships c,5790,5090,700,,Miscellaneous Expenses,7850,6109,1741,,,,,,835348,743063,86695,5590,,,,,
203519054_2010,203519054,EIN_203519054_YEAR_2010_FORMTYPE_990.pdf,,2010,"Adventist Community Services North America, Inc.",12501 Old Columbia Pike,Silver Spring,MD,20904,,712105,2004,MD,"ACSNA is the humanitarian agency of the Seventh-day Adventist Church that works within the U.S. & Bermuda. ACSNA meets peoples' immediate needs through social services, such as tutoring and mentoring programs, elder care. inner city and community projects, disaster",3,4,5,6,0,0,659268,48599,4238,0,712105,556155,0,0,0,,408560,964715,-252610,2331789,18141,2313648,546155,546155,,,0,0,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,575,,11169,,11169,,,,,,,,,,,,,,93106,93106,,,43572,18890,15205,9477,63310,26591,36719,,,,,,,,,,,,,,84655,80123,4532,,,,,,84052,4985,79067,,,,,,,,,,1105,895,210,,8446,0,8446,,Books & Periodicals,4506,4105,401,,Professional DevelopmentMemberships,8599,6481,2118,,c,,,,,d,,,,,5465,4609,856,,964715,795940,159298,9477,,,,16,16
730587210_2008,730587210,,,2008,,"6729 NW 39TH EXPRESSWAY BETHANY, OK 73008",BETHANY,OK,73008,,527,,,,990,,,,,,,22949962,,,387392,,,,123732,,,,,,6752532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730587210_2009,730587210,EIN_730587210_YEAR_2009_FORMTYPE_990.pdf,,2009,SOUTHERN NAZARENE UNIVERSITY,6729 NW 39TH EXPRESSWAY,BETHANY,OK,73008,www SNU EDU,36423915,1986,OK,HIGHER EDUCATION,51,50,1238,50,0,,4374956,22697356,-1955460,7087036,32203888,0,0,20347036,22805,1070320,15746851,36116692,-3912804,64894622,22466746,42427876,,,,,,,,,,,,,,,,,136698,97212,34185,5301,,,,,14807900,10530536,,574205,726768,563271,120072,43425,3488529,2550660,824466,113403,1187141,856940,285907,44294,,,,,41012,,41012,,76771,,76771,,,,,,22805,,,22805,,,,,,,,,602210,445635,132181,24394,,,,,,,,,,,,,,,,,1112782,701053,295955,115774,,,,,,,,,464278,129750,334528,,,,,,2049785,1792026,257759,,427872,81296,346576,,CONTRACT SERVICE,1792209,1397923,385886,8400,FOOD SERVICE,1671076,1637654,26702,6720,COST OF GOODS SOLD,1368908,,1368908,,SUPPLIES,1285411,758393,501704,25314,1258102,780023,444366,33713,36116692,24499119,10547253,1070320,,,,,
730587210_2010,730587210,EIN_730587210_YEAR_2010_FORMTYPE_990.pdf,,2010,SOUTHERN NAZARENE UNIVERSITY,6729 NW 39TH EXPRESSWAY,BETHANY,OK,73008,NU,39600687,1986,OK,HIGHER EDUCATION,51,50,1253,50,0,,4281134,24319554,1197453,7805470,37603611,0,0,18935528,0,994079,16544176,35479704,2123907,80424155,38549219,41874936,,,,,,,,,,,,,,,,,124473,85886,33608,4979,,,,,14195255,9783028,3861440,550787,718882,557159,120053,41670,2809518,2368539,350796,90183,1087400,754972,289636,42792,,,,,35143,,35143,,62600,,62600,,,,,,,,,,,,,,,,,,568935,421012,138150,9773,,,,,,,,,,,,,,,,,1200290,756183,378878,65229,,,,,,,,,829263,421515,407748,,,,,,2065955,1815236,250719,,403260,76619,326641,,FOOD SERVICE,1592882,1561024,28690,3168,CONTRACT SERVICE,1526345,1190549,319397,16399,PRINTING & PUBLICATIONS,1495362,927124,521319,46919,COST OF GOODS SOLD,1409438,,1409438,,1396247,823786,520074,52387,35479704,23883028,10602597,994079,1,1,78775,,
42121305_2008,42121305,EIN_42121305_YEAR_2008_FORMTYPE_990.pdf,,2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,250 DIVISION ST PO BOX 1000,DIVISION ST,MA,01230,www AIER ORG,5272834,1939,MA,"AIER conducts independent, scientific, economic research to educate individuals, thereby advancing their personal interests and those of the Nation",13,12,33,0,0,,1645930,1193947,337170,35032,3212079,89450,0,2172839,0,165461,2992684,5254973,-2042894,125567630,64687165,60880465,,,,,89450,89450,,,,,,,,,,,408956,314160,67954,26842,,,,,1296448,953789,,58544,181593,67252,109787,4554,132821,93797,31674,7350,153021,114505,31616,6900,,,,,20466,,20466,,17800,,17800,,,,,,,,,,,,,,241502,185689,29634,26179,,,,,1827649,1776184,35923,15542,16039,12992,2566,481,,,,,240688,183306,48436,8946,26826,21829,3521,1476,,,,,,,,,,,,,,,,,214145,197522,9307,7316,,,,,SENIOR VISITING FELLOWS,121131,121131,,,PUBLIC RELATIONS,114356,114356,,,TRUSTEE REIMBURSEMENT,77569,,77569,,MISCELLANEOUS,49400,31126,16975,1299,15525,14749,776,32,5254973,4292123,797389,165461,,,,,
42121305_2009,42121305,EIN_42121305_YEAR_2009_FORMTYPE_990.pdf,,2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,250 DIVISION ST PO BOX 1000,DIVISION ST,MA,01230,WWW AIER ORG,2473131,1939,MA,"AIER conducts independent, scientific, economic research to educate individuals, thereby advancing their personal interests and those of the Nation",10,10,33,0,0,0,640348,1465989,216135,-12604,2309868,90500,0,1944729,0,102061,3207530,5242759,-2932891,140819382,71909547,68909835,,,,,90500,90500,,,,,,,,,,,396124,275618,85428,35078,,,,,1131583,1109892,5757,15934,172288,69413,101824,1051,107389,102424,2426,2539,137345,123247,10245,3853,,,,,11562,578,10984,,28200,,28200,,,,,,,,,,,,,,248722,230810,5662,12250,,,,,2149830,2112417,17419,19994,18764,16700,1689,375,,,,,160534,135925,20211,4398,13498,11700,619,1179,,,,,,,,,,,,,,,,,207765,197383,5946,4436,,,,,PUBLIC RELATIONS,114433,114433,0,0,SENIORVISITING FELLO WS,107947,107947,0,0,TRUSTEE REIMBURSEMENT,71590,0,71590,0,MISCELLANEOUS,54129,50080,3075,974,20254,19241,1013,0,5242759,4768610,372088,102061,,,,,
42121305_2010,42121305,EIN_42121305_YEAR_2010_FORMTYPE_990.pdf,,2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,250 DIVISION ST PO BOX 1000,GREAT BARRINGTON,MA,01230,www AIER ORG,7204712,1939,MA,"AIER CONDUCTS INDEPENDENT, SCIENTIFIC, ECONOMIC RESEARCH TO EDUCATE INDIVIDUALS, THEREBY ADVANCING THEIR PERSONAL INTERESTS AND THOSE OF THE NATION",9,9,30,1,0,0,579215,774967,685319,26661,2066162,62500,0,1879392,0,76961,1880071,3821963,-1755801,155032825,83817281,71215544,,,,,62500,62500,,,,,,,,,,,403245,312429,54447,36369,,,,,1105387,1067227,22433,15727,149207,61253,87208,746,89332,84575,2888,1869,132221,119506,8912,3803,,,,,6085,304,5781,,20515,,20515,,,,,,,,,,,,,,149336,125702,22014,1620,,,,,1082027,1065675,9162,7190,33313,30648,1999,666,,,,,139288,123240,12337,3711,23892,22944,449,499,,,,,,,,,,,,,,,,,194568,187836,2558,4174,,,,,PUBLIC RELATIONS,78450,78450,,,TRUSTEE REIMBURSEMENT,51245,,51245,,MISCELLANEOUS,42852,38504,3761,587,SENIOR VISITING FELLO WS,35459,35459,,,22799,21659,1140,0,3821963,3438153,306849,76961,,,,,
